area,rooms,distance_to_center,building_age,price
46.9,2,22.48,19.1,7.337
28.6,1,22.07,27.7,4.126
77.7,3,13.64,25.5,11.341
60.2,2,15.73,3.1,8.472
103.8,4,7.19,40.3,14.987
101.8,3,1.74,21.2,16.417
55.1,3,15.07,47.2,10.012
115.5,3,7.72,49.9,16.351
52.6,2,16.76,49.3,5.773
73.9,4,20.99,25.0,12.019
49.3,2,0.94,19.3,10.151
113.9,5,15.09,44.9,17.803
40.6,2,6.17,48.1,7.674
29.3,1,21.91,29.5,3.118
66.3,2,6.71,53.6,8.224
119.3,4,15.46,8.6,14.638
109.7,3,14.06,52.7,10.628
96.1,4,10.21,5.8,15.318
109.6,3,17.1,9.2,14.645
109.9,4,18.28,32.0,13.941
74.3,3,14.39,4.1,6.207
55.0,2,19.08,3.2,6.108
98.3,3,24.59,0.0,15.184
87.9,3,10.77,26.2,11.506
60.5,2,13.11,46.5,8.867
34.0,2,0.81,2.1,6.236
95.9,2,20.0,39.1,14.717
49.9,2,13.25,49.4,6.884
114.0,3,10.5,10.1,16.815
47.9,1,2.8,8.8,10.981
36.7,2,22.3,51.6,5.942
104.0,4,10.18,49.4,14.264
39.6,1,17.22,32.3,4.421
42.0,1,4.16,49.2,6.239
81.9,1,24.06,5.6,10.517
108.1,3,4.87,23.7,15.627
43.7,3,5.39,44.3,7.579
54.5,2,21.55,15.4,9.154
98.9,3,22.86,45.1,12.019
117.3,5,5.7,30.3,23.675
72.6,1,12.01,45.0,9.394
38.7,1,18.47,27.9,6.746
26.3,1,22.02,22.1,3.432
46.8,2,9.79,13.2,8.921
37.5,2,13.17,12.5,5.567
89.4,3,18.67,45.1,10.004
36.6,2,18.41,7.1,6.132
73.1,2,19.68,5.2,11.399
91.0,4,14.46,10.6,13.714
80.2,4,3.06,10.5,11.459
44.0,1,22.65,49.4,3.048
101.4,3,21.71,23.9,9.971
93.0,4,20.05,59.4,8.738
95.2,3,2.95,8.2,15.123
37.5,2,5.51,39.2,7.892
36.8,1,18.72,26.9,4.633
113.1,5,1.07,23.6,12.813
62.8,2,24.49,52.5,6.852
53.6,2,9.74,58.5,7.526
71.4,4,18.12,52.4,13.623
88.0,3,22.25,11.5,8.872
115.8,3,10.17,13.2,15.356
52.2,2,8.32,39.4,10.298
112.9,4,15.41,17.3,16.988
27.4,1,14.73,44.1,4.21
77.7,3,10.52,34.0,11.716
85.2,3,15.24,33.1,12.449
35.1,2,23.42,49.7,4.89
38.3,1,11.96,42.6,4.514
64.8,2,5.32,1.6,11.918
116.8,3,9.74,3.0,13.292
81.6,2,10.16,36.1,11.916
113.6,4,3.71,29.2,17.626
101.4,3,4.49,15.6,13.952
69.4,2,17.27,25.1,9.22
99.6,3,8.82,45.5,12.688
26.7,1,23.9,49.6,1.57
35.4,1,6.47,33.7,5.486
103.8,4,2.92,23.1,13.82
100.7,4,18.96,16.2,14.811
47.1,2,22.09,31.3,4.625
75.4,3,7.31,18.9,13.122
82.6,3,5.45,33.8,10.513
107.4,5,5.05,40.6,15.475
82.3,3,13.29,4.0,11.104
64.2,2,11.98,0.1,11.739
60.5,2,6.86,12.7,10.187
65.5,2,1.61,53.7,9.845
86.9,2,12.3,38.8,12.579
107.4,3,24.0,10.3,8.925
68.1,2,16.49,53.4,8.626
48.5,2,12.64,28.2,9.803
47.5,2,3.21,28.6,8.52
95.9,3,6.68,56.1,13.804
102.6,4,7.72,3.6,17.109
35.0,2,19.24,12.9,6.162
31.3,1,21.98,35.1,1.657
81.5,2,22.59,11.7,7.191
38.9,2,24.62,40.8,4.804
103.3,4,24.57,12.8,12.225
54.5,1,23.85,5.9,8.192
38.7,1,2.26,12.4,6.772
112.5,4,3.88,25.4,12.521
40.7,1,7.96,10.6,5.315
52.0,2,14.05,8.1,4.416
39.6,1,2.88,51.6,6.18
36.0,2,21.22,19.2,4.856
27.0,2,15.61,21.6,4.288
30.3,1,13.79,3.3,5.881
41.6,2,4.55,21.4,8.968
30.1,1,6.7,15.9,5.366
81.2,2,4.43,36.6,8.077
89.7,3,21.37,12.3,13.188
62.4,1,14.81,53.3,8.406
55.2,2,18.51,55.8,7.339
72.9,4,7.75,6.0,14.081
108.1,3,9.6,6.4,12.942
105.9,3,10.42,6.9,19.779
29.1,1,19.12,37.2,2.698
42.2,3,19.42,7.3,7.677
47.5,1,5.57,51.1,4.99
48.7,2,23.57,45.3,4.616
79.3,4,3.46,49.2,15.61
64.5,1,22.45,31.6,6.915
29.7,1,2.96,59.8,5.874
60.5,2,6.98,2.7,10.212
74.8,2,21.24,24.1,9.237
34.7,2,4.9,19.4,8.176
104.2,4,10.63,56.9,14.253
29.9,1,11.52,34.6,3.004
112.9,4,6.51,48.4,14.514
34.4,1,17.9,10.2,5.31
105.1,5,21.36,58.7,15.108
110.8,4,21.93,29.9,10.994
118.1,4,8.81,29.6,15.293
101.2,4,13.51,58.3,12.805
99.1,4,6.59,22.8,14.51
86.0,3,6.5,23.9,10.523
99.0,2,4.45,35.1,12.68
37.8,2,23.53,7.7,4.432
75.9,2,22.26,19.3,10.839
73.9,3,19.55,11.6,11.748
106.5,3,13.18,6.2,14.67
69.0,3,12.52,52.0,9.319
61.6,2,13.48,35.4,8.832
85.8,2,13.65,21.5,10.091
50.3,2,11.15,24.5,6.367
38.3,2,3.73,25.9,6.312
70.4,2,3.58,38.0,9.756
64.6,3,23.83,55.6,6.259
47.1,1,12.31,56.0,6.275
59.9,2,23.85,23.5,8.447
59.8,2,4.51,19.8,7.517
56.1,2,14.08,27.1,8.11
61.0,3,5.59,34.1,9.868
90.1,3,6.7,27.7,14.187
53.2,2,1.24,39.5,9.042
115.1,5,3.41,33.3,14.461
